Id,Label,timeset,modularity_class,clustering,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,pageranks,componentnumber,strongcompnum
34117542,,,5,0,1,0,1,1,0,1,0,0,0,0,0.001794,0.000926,0,144
72783700,,,10,0.5,1,3,4,1,3,4,7,0.29646,0.347157,25.509524,0.006434,0.001373,0,79
masterobert,,,14,0,0,1,1,0,1,1,8,0.261905,0.302543,0,0,0.000792,0,146
50790386,,,0,0,1,0,1,1,0,1,0,0,0,0,0.004423,0.00107,0,91
Newidiot,,,16,0.152381,1,15,16,1,15,16,6,0.403409,0.519484,55.183333,0.004423,0.00107,0,92
bany,,,12,0,0,1,1,0,1,1,7,0.250951,0.279076,0,0,0.000792,0,147
145149457,,,10,1,0,2,2,0,2,2,7,0.290749,0.333478,0,0,0.000792,0,148
grassgggg,,,0,0,0,1,1,0,1,1,8,0.236559,0.266829,0,0,0.000792,0,149
87083309,,,16,0,0,4,4,0,4,4,7,0.279661,0.34044,0,0,0.000792,0,150
minquan,,,16,0,0,1,1,0,1,1,9,0.240876,0.272914,0,0,0.000792,0,151
68325010,,,14,0,0,1,1,0,1,1,8,0.259843,0.295869,0,0,0.000792,0,152
xumanman,,,12,0,0,1,1,0,1,1,9,0.207547,0.236261,0,0,0.000792,0,153
144975066,,,5,0,0,2,2,0,2,2,8,0.277311,0.326786,0,0,0.000792,0,154
63512808,,,5,0,0,1,1,0,1,1,8,0.268293,0.304058,0,0,0.000792,0,155
hjscez,,,5,0,0,3,3,0,3,3,9,0.214511,0.263626,0,0,0.000792,0,157
porKiller,,,5,0,1,0,1,1,0,1,0,0,0,0,0.001794,0.001016,0,156
53021898,,,17,0,1,1,2,1,1,2,1,1,1,0,0.003058,0.005273,8,158
donkey-grandpa,,,17,0,1,1,2,1,1,2,1,1,1,0,0.003058,0.005273,8,158
54894028,,,12,0,0,1,1,0,1,1,7,0.250951,0.279076,0,0,0.000792,0,159
hearyin,,,14,0,0,1,1,0,1,1,8,0.256809,0.294968,0,0,0.000792,0,160
132056679,,,10,0,0,1,1,0,1,1,7,0.24812,0.279582,0,0,0.000792,0,161
73122249,,,12,0,0,1,1,0,1,1,9,0.207547,0.236261,0,0,0.000792,0,162
48673876,,,14,0.166667,0,4,4,0,4,4,7,0.315789,0.373629,0,0,0.000792,0,163
chansi,,,0,0.25,0,4,4,0,4,4,7,0.295154,0.357356,0,0,0.000792,0,164
132539193,,,10,0,0,1,1,0,1,1,7,0.24812,0.279582,0,0,0.000792,0,165
91226711,,,14,1,0,2,2,0,2,2,8,0.286957,0.334614,0,0,0.000792,0,166
zero8,,,1,0,0,1,1,0,1,1,8,0.232394,0.258243,0,0,0.000792,0,167
50967494,,,14,0,0,1,1,0,1,1,8,0.259843,0.295869,0,0,0.000792,0,168
51354919,,,18,0,0,1,1,0,1,1,1,1,1,0,0,0.000792,9,170
129783136,,,18,0,1,0,1,1,0,1,0,0,0,0,0.001794,0.001464,9,169
68639087,,,19,0,0,1,1,0,1,1,1,1,1,0,0,0.000792,10,172
98956225,,,19,0,1,0,1,1,0,1,0,0,0,0,0.001794,0.001464,10,171
66479915,,,10,0,0,3,3,0,3,3,7,0.270492,0.322114,0,0,0.000792,0,173
103400485,,,14,0.392857,0,8,8,0,8,8,7,0.354497,0.445665,0,0,0.000792,0,174
vliangfrank,,,12,0,0,1,1,0,1,1,1,1,1,0,0,0.000792,0,175
unnanae,,,0,0.1,0,6,6,0,6,6,7,0.341837,0.412331,0,0,0.000792,0,176
3335015,,,1,0,0,2,2,0,2,2,8,0.266129,0.311778,0,0,0.000792,0,177
noahsart,,,2,0.2,0,6,6,0,6,6,7,0.297297,0.376551,0,0,0.000792,0,178
sherryxie0805,,,1,0,0,1,1,0,1,1,8,0.243542,0.275415,0,0,0.000792,0,179
little-wen,,,12,0,0,1,1,0,1,1,9,0.207547,0.236261,0,0,0.000792,0,180
13818711,,,12,0,0,1,1,0,1,1,7,0.250951,0.279076,0,0,0.000792,0,181
smileykiko,,,5,0,0,2,2,0,2,2,7,0.282051,0.325397,0,0,0.000792,0,182
lihudo,,,20,0,0,1,1,0,1,1,1,1,1,0,0,0.000792,11,184
Zazai,,,20,0,1,0,1,1,0,1,0,0,0,0,0.001794,0.001464,11,183
echo19870605bj,,,21,0,0,1,1,0,1,1,1,1,1,0,0,0.000792,12,186
Mrs_Dalloway,,,21,0,1,0,1,1,0,1,0,0,0,0,0.001794,0.001464,12,185
71298339,,,14,0,0,1,1,0,1,1,8,0.259843,0.295869,0,0,0.000792,0,187
